股票名称,股票跌幅1,股票跌幅2,股票跌幅3,股票跌幅4,股票跌幅5,股票跌幅6,总跌幅,股票涨幅,
三祥新材_0603663.csv,-2.0472,-1.3975,-0.6684,-2.2613,0.0,-1.9704,-8.3448,0.1608,
三花智控_1002050.csv,-3.1599,-0.0619,-2.5347,-4.6056,0.0,-1.6421,-12.004199999999999,0.7038,
中国科传_0601858.csv,-5.0505,-3.5714,-0.8052,-1.7405,-2.4691,-1.2947,-14.931400000000002,0.0887,
中科三环_1000970.csv,-3.4667,-1.1424,-2.4014,-3.6364,-0.2473,-0.4105,-11.3047,0.1842,
九洲药业_0603456.csv,-6.8129,-0.3452,-7.5532,-0.4237,-0.2114,-0.1056,-15.452000000000002,0.3717,
华鹏飞_1300350.csv,-3.3512,0.0,-0.9296,-2.4611,-2.7708,-1.7327,-11.2454,0.8322,
大丰实业_0603081.csv,-5.1701,-0.8097,-0.5369,-2.1668,-0.4575,-0.7138,-9.854800000000001,1.0043,
大博医疗_1002901.csv,-0.9819,-0.6209,-2.4235,-1.1127,-0.9327,-0.4502,-6.5219,2.3738,
天润数娱_1002113.csv,-5.0847,-1.3378,-5.0794,-0.3165,-1.25,-2.439,-15.507399999999999,5.0,
天龙股份_0603266.csv,-3.4601,-0.383,0.0,-0.4237,-2.9206,-2.76,-9.9474,4.292,
康隆达_0603665.csv,-4.1001,-0.9346,-0.82,-1.0582,-0.8741,-1.0038,-8.7908,0.4919,
延安必康_1002411.csv,-1.8088,-0.1548,-0.0516,-0.103,-0.4615,-1.4156,-3.9953000000000003,6.8421,
歌力思_0603808.csv,-1.3395,-0.2324,-1.2622,-0.8532,-0.5656,-2.6432,-6.8961,0.1181,
申华控股_0600653.csv,-5.4152,0.0,-1.4235,-2.0906,-0.3472,-1.7065,-10.983,0.0,
神州B_1200018.csv,-9.8485,-3.6496,-2.8369,-2.7586,0.0,-0.6849,-19.7785,2.521,
耀皮玻璃_0600819.csv,-6.9091,-0.3623,-1.4286,-1.2346,-0.1761,-1.5598,-11.6705,3.5156,
至纯科技_0603690.csv,-3.7342,-0.3383,-2.1749,-0.4237,-0.7013,-2.7285,-10.1009,0.5038,
药明康德_0603259.csv,-0.8999,-0.3922,-2.7778,-1.2372,0.0,-1.0539,-6.361000000000001,0.2157,
豪迈科技_1002595.csv,-0.9744,-0.7128,-0.0509,-1.8482,-1.2821,-1.1214,-5.989800000000001,0.9839,
香江控股_0600162.csv,-5.0725,-0.7194,-1.7668,-1.7361,-0.346,0.0,-9.6408,9.9237,
